sample_id,video_id,clip_id,source_relpath,raw_text,alignment_text,prepare_status,duration_video_sec,duration_audio_sec,video_start_sec,audio_start_sec,width,height,fps,audio_sample_rate_source,audio_channels_source,n_time_bins,window_sec,text_word_count,aligned_word_count,alignment_word_coverage,alignment_status,audio_valid_bins,vision_frames_sampled,vision_valid_bins,text_dim,audio_dim,vision_dim,removed_bracket_annotations,error
-AUZQgSxyPQ/2,-AUZQgSxyPQ,2,-AUZQgSxyPQ/2.mp4,"The perfect soul mate to the Clarisonic Spot Therapy Brush, this gentle, Ph balanced and hydrating exfoliant containing jojoba and acai fruit oils and bamboo and prickly bear extracts deliver intense healing, while smooth granules buff away dead, dry skin cells.",the perfect soul mate to the clarisonic spot therapy brush this gentle ph balanced and hydrating exfoliant containing jojoba and acai fruit oils and bamboo and prickly bear extracts deliver intense healing while smooth granules buff away dead dry skin cells,ok,22.511003,22.405011,0.0,0.0,1280,720,30/1,44100,2,46,0.5,41,41,1.0,complete,45,45,45,128,40,52,,
-HeZS2-Prhc/2,-HeZS2-Prhc,2,-HeZS2-Prhc/2.mp4,The August jobs report is out and it was seen overall as solid but not great.,the august jobs report is out and it was seen overall as solid but not great,ok,8.261979,8.150998,0.0,0.0,360,360,30/1,44100,1,17,0.5,16,16,1.0,complete,17,16,0,128,40,52,,
-MeTTeMJBNc/0,-MeTTeMJBNc,0,-MeTTeMJBNc/0.mp4,"Okay, what happens at this point after we've taken this brief walk down memory lane, is the presentation of the gift.",okay what happens at this point after we've taken this brief walk down memory lane is the presentation of the gift,ok,9.3,9.218005,0.0,0.0,470,360,30/1,44100,2,19,0.5,21,21,1.0,complete,19,19,0,128,40,52,,
-MeTTeMJBNc/13,-MeTTeMJBNc,13,-MeTTeMJBNc/13.mp4,"It just needs to be a simple statement, and then you present the gift.",it just needs to be a simple statement and then you present the gift,ok,5.430013,5.255011,0.0,0.0,470,360,30/1,44100,2,11,0.5,14,14,1.0,complete,11,11,0,128,40,52,,
-MeTTeMJBNc/7,-MeTTeMJBNc,7,-MeTTeMJBNc/7.mp4,"Maybe you could find a picture of the couple from their wedding or sometime in their life, or maybe even a current picture and have it put in a beautiful frame.",maybe you could find a picture of the couple from their wedding or sometime in their life or maybe even a current picture and have it put in a beautiful frame,ok,10.516992,10.411995,0.0,0.0,470,360,30/1,44100,2,22,0.5,31,31,1.0,complete,21,21,0,128,40,52,,
-RfYyzHpjk4/11,-RfYyzHpjk4,11,-RfYyzHpjk4/11.mp4,"So get your friends lined up, get your business colleagues lined up and have a good time.",so get your friends lined up get your business colleagues lined up and have a good time,ok,5.238997,5.073991,0.0,0.0,1280,720,30/1,44100,2,11,0.5,17,17,1.0,complete,11,10,10,128,40,52,,
-RfYyzHpjk4/8,-RfYyzHpjk4,8,-RfYyzHpjk4/8.mp4,"It's pretty, pretty easy to do but you got to set up those numbers ahead of time.",it's pretty pretty easy to do but you got to set up those numbers ahead of time,ok,4.588997,4.531995,0.0,0.0,1280,720,30/1,44100,2,10,0.5,17,17,1.0,complete,10,9,9,128,40,52,,
-RfYyzHpjk4/2,-RfYyzHpjk4,2,-RfYyzHpjk4/2.mp4,"You can make a conference call but it takes quite a bit of planning, well not a lot of planning it's pretty easy to do.",you can make a conference call but it takes quite a bit of planning well not a lot of planning it's pretty easy to do,ok,5.516016,5.391995,0.0,0.0,1280,720,30/1,44100,2,12,0.5,25,25,1.0,complete,11,11,9,128,40,52,,
-UUCSKoHeMA/0,-UUCSKoHeMA,0,-UUCSKoHeMA/0.mp4,"I mentioned a word in the last clip called 'monotone', and I want to talk about that briefly.",i mentioned a word in the last clip called monotone and i want to talk about that briefly,ok,7.8,7.731995,0.0,0.0,470,360,30/1,44100,2,16,0.5,18,18,1.0,complete,16,16,0,128,40,52,,
-ri04Z7vwnc/0,-ri04Z7vwnc,0,-ri04Z7vwnc/0.mp4,going to get married or are already married,going to get married or are already married,ok,2.807,2.762993,0.0,0.0,1280,720,3555000/148273,44100,2,6,0.5,8,8,1.0,complete,6,6,0,128,40,52,,
-ri04Z7vwnc/2,-ri04Z7vwnc,2,-ri04Z7vwnc/2.mp4,"most people think it'll sort itself out, ""we'll discuss it later,"" it's not something too important",most people think it'll sort itself out we'll discuss it later it's not something too important,ok,6.027,5.913991,0.0,0.0,1280,720,7470000/311561,44100,2,13,0.5,16,16,1.0,complete,12,12,4,128,40,52,,
-ri04Z7vwnc/5,-ri04Z7vwnc,5,-ri04Z7vwnc/5.mp4,""" So I think it's important to discuss finances",so i think it's important to discuss finances,ok,3.545,3.44,0.0,0.0,1280,720,1597500/66629,44100,2,8,0.5,8,8,1.0,complete,7,7,7,128,40,52,,
-s9qJ7ATP7w/1,-s9qJ7ATP7w,1,-s9qJ7ATP7w/1.mp4,"But the hardest thing in life to learn, is to lose",but the hardest thing in life to learn is to lose,ok,4.791992,4.643991,0.0,0.0,1280,720,30/1,44100,2,10,0.5,11,11,1.0,complete,10,9,9,128,40,52,,
-s9qJ7ATP7w/0,-s9qJ7ATP7w,0,-s9qJ7ATP7w/0.mp4,"they have doubt, they have fear, they lose in a Ferrari race, or they lose in a race, and then they just give up",they have doubt they have fear they lose in a ferrari race or they lose in a race and then they just give up,ok,6.8,6.71,0.0,0.0,1280,720,30/1,44100,2,14,0.5,24,24,1.0,complete,14,14,14,128,40,52,,
-s9qJ7ATP7w/5,-s9qJ7ATP7w,5,-s9qJ7ATP7w/5.mp4,"I have been beat up and put down and everything that can go wrong, has gone wrong for me",i have been beat up and put down and everything that can go wrong has gone wrong for me,ok,8.561003,8.398005,0.0,0.0,1280,720,30/1,44100,2,18,0.5,19,19,1.0,complete,17,17,17,128,40,52,,
-s9qJ7ATP7w/4,-s9qJ7ATP7w,4,-s9qJ7ATP7w/4.mp4,"I have lost at everything you can imagine, seriously",i have lost at everything you can imagine seriously,ok,4.427018,4.247007,0.0,0.0,1280,720,30/1,44100,2,9,0.5,9,9,1.0,complete,9,9,6,128,40,52,,
-s9qJ7ATP7w/7,-s9qJ7ATP7w,7,-s9qJ7ATP7w/7.mp4,"I used to work for Warren Avis, the guy who started Avis Rent a Car, and he said to me one day, ""Robert, ""what's the purpose of business",i used to work for warren avis the guy who started avis rent a car and he said to me one day robert what's the purpose of business,ok,6.966016,6.839002,0.0,0.0,1280,720,30/1,44100,2,14,0.5,28,28,1.0,complete,14,14,8,128,40,52,,
-s9qJ7ATP7w/6,-s9qJ7ATP7w,6,-s9qJ7ATP7w/6.mp4,But I just kept going,but i just kept going,ok,2.475,2.315011,0.0,0.0,1280,720,30/1,44100,2,5,0.5,5,5,1.0,complete,5,5,4,128,40,52,,
-s9qJ7ATP7w/8,-s9qJ7ATP7w,8,-s9qJ7ATP7w/8.mp4,""" And I said, ""Oh, make a profit, and all these other things",and i said oh make a profit and all these other things,ok,3.294987,3.183991,0.0,0.0,1280,720,30/1,44100,2,7,0.5,12,12,1.0,complete,7,6,6,128,40,52,,
-yRb-Jum7EQ/1,-yRb-Jum7EQ,1,-yRb-Jum7EQ/1.mp4,"it comes with the assistance and agitation of states and regimes, Yesterday Iran announced that it will finance the families of the terrorists and murderers this shows that Iran, even after the nuclear agreement, is continuing to aid terrorism, including Palestinian terrorism, Hezbollah terrorism and its assistance to Hamas.",it comes with the assistance and agitation of states and regimes yesterday iran announced that it will finance the families of the terrorists and murderers this shows that iran even after the nuclear agreement is continuing to aid terrorism including palestinian terrorism hezbollah terrorism and its assistance to hamas,ok,29.288021,29.109002,0.0,0.0,1280,720,30/1,44100,2,59,0.5,49,49,1.0,complete,59,58,54,128,40,52,,
-yRb-Jum7EQ/5,-yRb-Jum7EQ,5,-yRb-Jum7EQ/5.mp4,"Yesterday Eliav Gelman lost his life in another terrorist attack, not by the students of terrorism, but by those who teach terrorism, a Palestinian teacher.",yesterday eliav gelman lost his life in another terrorist attack not by the students of terrorism but by those who teach terrorism a palestinian teacher,ok,13.16901,13.043991,0.0,0.0,1280,720,30/1,44100,2,27,0.5,25,25,1.0,complete,27,26,26,128,40,52,,
-yRb-Jum7EQ/6,-yRb-Jum7EQ,6,-yRb-Jum7EQ/6.mp4,"Therefore, the world needs to stand with Israel against this incitement, which is the number one cause of terrorism.",therefore the world needs to stand with israel against this incitement which is the number one cause of terrorism,ok,11.225977,11.241995,0.0,0.0,1280,720,30/1,44100,2,23,0.5,19,19,1.0,complete,23,22,22,128,40,52,,
